Date,Open,High,Low,Close,Volume,Adj Close
2015-02-26,51.35,51.90,51.20,51.50,25600,51.50
2015-02-25,51.85,51.85,50.80,51.00,32000,51.00
2015-02-24,51.80,52.20,51.35,52.20,29300,52.20
2015-02-23,51.85,52.30,51.35,51.65,31000,51.65
2015-02-20,51.10,51.45,50.40,51.15,39800,51.15
2015-02-19,50.95,51.55,50.00,51.50,49700,51.50
2015-02-18,49.87,51.15,49.87,51.00,47300,51.00
2015-02-17,48.74,49.80,48.24,49.39,39400,49.39
2015-02-16,48.39,49.42,48.28,49.22,34200,49.22
2015-02-13,47.67,48.85,47.67,48.40,58100,48.40
2015-02-12,45.94,47.47,45.84,47.38,43100,47.38
2015-02-11,46.59,46.60,45.82,45.87,9300,45.87
2015-02-10,45.87,46.82,45.60,45.90,29500,45.90
2015-02-09,46.25,46.25,45.34,45.60,66500,45.60
2015-02-06,47.02,47.25,46.31,47.25,38900,47.25
2015-02-05,47.60,47.61,46.40,46.95,74800,46.95
2015-02-04,48.55,49.40,48.05,48.46,46200,48.46
2015-02-03,47.60,48.60,47.54,48.50,56000,48.50
2015-02-02,46.89,47.15,45.75,47.06,27600,47.06
2015-01-30,48.00,48.32,46.33,46.50,30100,46.50
2015-01-29,47.37,47.79,46.65,47.72,23400,47.72
2015-01-28,49.27,49.27,47.18,47.22,40100,47.22
2015-01-27,49.45,49.45,47.98,48.67,30400,48.67
2015-01-26,48.69,49.64,48.17,49.36,24500,49.36
2015-01-23,50.00,51.10,48.76,48.99,62900,48.99
2015-01-22,48.46,49.98,48.08,49.48,62200,49.48
2015-01-21,48.02,48.45,47.00,48.16,41600,48.16
2015-01-20,47.01,47.90,46.94,47.54,26200,47.54
2015-01-19,46.06,47.05,45.74,46.78,26800,46.78
2015-01-16,45.80,46.22,45.10,46.01,31400,46.01
2015-01-15,45.50,46.30,43.48,46.11,67600,46.11
2015-01-14,45.54,46.60,44.91,45.30,42200,45.30
2015-01-13,45.00,46.70,45.00,46.50,19100,46.50
2015-01-12,45.26,45.40,44.20,45.22,15800,45.22
2015-01-09,46.47,46.60,44.35,44.89,34100,44.89
2015-01-08,45.95,46.83,45.43,46.81,32400,46.81
2015-01-07,45.89,46.06,44.90,45.00,25600,45.00
2015-01-06,47.00,47.10,45.90,46.01,9100,46.01
2015-01-05,49.00,49.30,47.00,47.05,34700,47.05
2015-01-02,49.40,50.10,48.92,49.28,33200,49.28
2015-01-01,48.81,48.81,48.81,48.81,000,48.81
2014-12-31,48.81,48.81,48.81,48.81,000,48.81
2014-12-30,49.40,49.72,48.81,48.81,9800,48.81
2014-12-29,49.70,50.00,48.84,49.30,21500,49.30
2014-12-26,49.60,49.60,49.60,49.60,000,49.60
