Date,Open,High,Low,Close,Volume,Adj Close
2014-07-14,17.79,17.79,17.79,17.79,000,17.79
2014-07-11,17.82,17.82,17.82,17.82,000,17.82
2014-07-10,17.71,17.71,17.71,17.71,000,17.71
2014-07-09,18.06,18.06,18.06,18.06,000,18.06
2014-07-08,18.01,18.01,18.01,18.01,000,18.01
2014-07-07,18.39,18.39,18.39,18.39,000,18.39
2014-07-04,18.61,18.61,18.61,18.61,000,18.61
2014-07-03,18.81,18.81,18.81,18.81,000,18.81
2014-07-02,18.58,18.58,18.58,18.58,000,18.58
2014-07-01,18.47,18.47,18.47,18.47,000,18.47
2014-06-30,18.31,18.31,18.31,18.31,000,18.31
2014-06-27,18.39,18.39,18.39,18.39,000,18.39
2014-06-26,18.45,18.45,18.45,18.45,000,18.45
2014-06-25,18.46,18.46,18.46,18.46,000,18.46
2014-06-24,18.63,18.63,18.63,18.63,000,18.63
2014-06-20,18.86,18.86,18.86,18.86,000,18.86
2014-06-19,18.96,18.96,18.96,18.96,000,18.96
2014-06-18,18.89,18.89,18.89,18.89,000,18.89
2014-06-17,18.88,18.88,18.88,18.88,000,18.88
2014-06-16,18.87,18.87,18.87,18.87,000,18.87
2014-06-13,19.01,19.01,19.01,19.01,000,19.01
2014-06-12,19.11,19.11,19.11,19.11,000,19.11
2014-06-11,19.14,19.14,19.14,19.14,000,19.14
2014-06-10,19.38,19.38,19.38,19.38,000,19.38
2014-06-06,19.27,19.27,19.27,19.27,000,19.27
2014-06-05,19.03,19.03,19.03,19.03,000,19.03
2014-06-04,18.91,18.91,18.91,18.91,000,18.91
2014-06-03,18.91,18.91,18.91,18.91,000,18.91
2014-05-30,18.92,18.92,18.92,18.92,000,18.92
2014-05-28,18.80,18.80,18.80,18.80,000,18.80
2014-05-27,18.67,18.67,18.67,18.67,000,18.67
2014-05-23,18.15,18.15,18.15,18.15,000,18.15
2014-05-21,18.07,18.07,18.07,18.07,000,18.07
2014-05-20,17.97,17.97,17.97,17.97,000,17.97
2014-05-19,17.90,17.90,17.90,17.90,000,17.90
2014-05-16,17.89,17.89,17.89,17.89,000,17.89
2014-05-14,18.35,18.35,18.35,18.35,000,18.35
2014-05-13,18.50,18.50,18.50,18.50,000,18.50
2014-05-12,18.71,18.71,18.71,18.71,000,18.71
2014-05-09,18.63,18.63,18.63,18.63,000,18.63
2014-05-08,18.89,18.89,18.89,18.89,000,18.89
2014-05-07,18.58,18.58,18.58,18.58,000,18.58
2014-05-06,18.89,18.89,18.89,18.89,000,18.89
2014-05-05,19.00,19.00,19.00,19.00,000,19.00
2014-05-02,19.11,19.11,19.11,19.11,000,19.11
2014-04-30,19.10,19.10,19.10,19.10,000,19.10
2014-04-29,19.21,19.21,19.21,19.21,000,19.21
2014-04-28,18.93,18.93,18.93,18.93,000,18.93
2014-04-24,19.14,19.14,19.14,19.14,000,19.14
2014-04-23,19.03,19.03,19.03,19.03,000,19.03
2014-04-22,19.21,19.21,19.21,19.21,000,19.21
2014-04-17,18.92,18.92,18.92,18.92,000,18.92
2014-04-16,18.87,18.87,18.87,18.87,000,18.87
2014-04-15,18.35,18.35,18.35,18.35,000,18.35
2014-04-14,18.78,18.78,18.78,18.78,000,18.78
2014-04-11,18.72,18.72,18.72,18.72,000,18.72
2014-04-10,18.93,18.93,18.93,18.93,000,18.93
2014-04-09,19.15,19.15,19.15,19.15,000,19.15
2014-04-08,19.08,19.08,19.08,19.08,000,19.08
2014-04-07,19.39,19.39,19.39,19.39,000,19.39
2014-04-04,19.52,19.52,19.52,19.52,000,19.52
2014-04-03,19.37,19.37,19.37,19.37,000,19.37
2014-04-02,19.15,19.15,19.15,19.15,000,19.15
2014-04-01,19.33,19.33,19.33,19.33,000,19.33
2014-03-31,19.14,19.14,19.14,19.14,000,19.14
2014-03-28,19.07,19.07,19.07,19.07,000,19.07
2014-03-27,18.85,18.85,18.85,18.85,000,18.85
2014-03-26,18.80,18.80,18.80,18.80,000,18.80
2014-03-25,18.58,18.58,18.58,18.58,000,18.58
2014-03-24,18.39,18.39,18.39,18.39,000,18.39
2014-03-21,18.63,18.63,18.63,18.63,000,18.63
2014-03-20,18.66,18.66,18.66,18.66,000,18.66
2014-03-19,18.59,18.59,18.59,18.59,000,18.59
2014-03-18,18.64,18.64,18.64,18.64,000,18.64
2014-03-17,18.51,18.51,18.51,18.51,000,18.51
2014-03-14,18.12,18.12,18.12,18.12,000,18.12
2014-03-13,18.33,18.33,18.33,18.33,000,18.33
2014-03-12,18.51,18.51,18.51,18.51,000,18.51
2014-03-11,18.60,18.60,18.60,18.60,000,18.60
2014-03-10,18.53,18.53,18.53,18.53,000,18.53
2014-03-07,18.42,18.42,18.42,18.42,000,18.42
2014-03-06,18.56,18.56,18.56,18.56,000,18.56
2014-03-05,18.51,18.51,18.51,18.51,000,18.51
2014-03-04,18.32,18.32,18.32,18.32,000,18.32
2014-03-03,17.79,17.79,17.79,17.79,000,17.79
2014-02-28,18.33,18.33,18.33,18.33,000,18.33
2014-02-27,18.24,18.24,18.24,18.24,000,18.24
2014-02-26,18.33,18.33,18.33,18.33,000,18.33
2014-02-25,18.35,18.35,18.35,18.35,000,18.35
2014-02-24,18.35,18.35,18.35,18.35,000,18.35
2014-02-21,18.29,18.29,18.29,18.29,000,18.29
2014-02-20,18.33,18.33,18.33,18.33,000,18.33
2014-02-19,18.31,18.31,18.31,18.31,000,18.31
2014-02-18,18.31,18.31,18.31,18.31,000,18.31
2014-02-17,18.30,18.30,18.30,18.30,000,18.30
2014-02-14,18.27,18.27,18.27,18.27,000,18.27
2014-02-13,18.05,18.05,18.05,18.05,000,18.05
2014-02-12,18.11,18.11,18.11,18.11,000,18.11
2014-02-11,17.92,17.92,17.92,17.92,000,17.92
2014-02-10,17.78,17.78,17.78,17.78,000,17.78
2014-02-07,17.80,17.80,17.80,17.80,000,17.80
2014-02-06,17.63,17.63,17.63,17.63,000,17.63
2014-02-05,17.25,17.25,17.25,17.25,000,17.25
2014-02-04,17.22,17.22,17.22,17.22,000,17.22
2014-02-03,17.12,17.12,17.12,17.12,000,17.12
2014-01-31,17.52,17.52,17.52,17.52,000,17.52
2014-01-30,17.51,17.51,17.51,17.51,000,17.51
2014-01-29,17.46,17.46,17.46,17.46,000,17.46
2014-01-28,17.54,17.54,17.54,17.54,000,17.54
2014-01-27,17.36,17.36,17.36,17.36,000,17.36
2014-01-24,17.43,17.43,17.43,17.43,000,17.43
2014-01-23,17.81,17.81,17.81,17.81,000,17.81
2014-01-22,17.92,17.92,17.92,17.92,000,17.92
2014-01-21,18.00,18.00,18.00,18.00,000,18.00
2014-01-20,18.01,18.01,18.01,18.01,000,18.01
2014-01-17,18.01,18.01,18.01,18.01,000,18.01
2014-01-16,17.94,17.94,17.94,17.94,000,17.94
2014-01-15,18.06,18.06,18.06,18.06,000,18.06
