Date,Open,High,Low,Close,Volume,Adj Close
2015-02-25,77.50,77.70,77.22,77.67,553100,77.67
2015-02-24,76.95,77.48,76.77,77.31,525500,77.31
2015-02-23,76.90,77.26,76.71,76.89,385400,76.89
2015-02-20,76.20,76.73,75.96,76.62,434600,76.62
2015-02-19,75.88,76.16,75.78,75.80,1841600,75.80
2015-02-18,75.57,75.64,75.15,75.49,254600,75.49
2015-02-17,76.42,76.50,76.01,76.26,311300,76.26
2015-02-13,75.72,75.75,75.20,75.60,353700,75.60
2015-02-12,75.08,76.24,75.00,75.89,422000,75.89
2015-02-11,76.27,76.56,76.13,76.55,344800,76.55
2015-02-10,77.06,77.36,76.80,77.31,305500,77.31
2015-02-09,76.73,77.30,76.72,77.03,442800,77.03
2015-02-06,76.54,76.99,76.34,76.57,306700,76.57
2015-02-05,77.12,77.34,76.64,77.24,267800,77.24
2015-02-04,77.54,77.69,76.94,77.17,620700,77.17
2015-02-03,76.74,77.30,76.45,77.14,883300,77.14
2015-02-02,76.27,77.15,76.07,76.98,438000,76.98
2015-01-30,76.54,77.02,76.45,76.51,511500,76.51
2015-01-29,76.88,77.06,76.49,77.00,367900,77.00
2015-01-28,77.22,77.55,76.24,76.33,364500,76.33
2015-01-27,77.56,78.25,77.33,78.09,278900,78.09
2015-01-26,77.44,77.56,76.71,76.90,336500,76.90
2015-01-23,78.05,78.27,77.37,77.61,656600,77.61
2015-01-22,75.42,76.40,75.32,76.10,346000,76.10
2015-01-21,77.08,77.60,76.28,76.99,639900,76.99
2015-01-20,77.73,77.73,76.09,76.36,2851600,76.36
2015-01-16,76.83,77.38,75.25,75.88,2359400,75.88
2015-01-15,77.33,78.16,75.40,77.67,5384300,77.67
2015-01-14,72.91,73.04,72.66,72.99,354000,72.99
2015-01-13,72.57,73.00,72.25,72.52,436700,72.52
2015-01-12,72.11,72.15,71.89,72.06,425800,72.06
2015-01-09,71.81,71.94,71.50,71.81,373300,71.81
2015-01-08,71.11,71.70,70.99,71.46,775600,71.46
2015-01-07,70.43,70.91,70.34,70.75,462800,70.75
2015-01-06,70.92,71.07,70.55,70.61,403500,70.61
2015-01-05,71.49,71.54,70.74,70.96,787400,70.96
2015-01-02,72.91,72.95,72.42,72.65,393900,72.65
2014-12-31,73.55,73.62,72.90,72.95,249900,72.95
2014-12-30,73.92,73.96,73.64,73.64,350200,73.64
2014-12-29,74.19,74.20,73.83,73.88,326100,73.88
2014-12-26,73.91,74.08,73.71,73.71,300700,73.71
2014-12-24,73.84,74.12,73.84,74.02,233200,74.02
2014-12-23,74.07,74.13,73.75,73.92,805800,73.92
2014-12-22,73.99,74.13,73.83,73.88,817100,73.88
2014-12-19,73.57,73.74,73.38,73.48,721700,73.48
2014-12-18,72.36,73.16,72.20,73.16,663400,73.16
2014-12-17,72.54,72.72,71.83,72.19,659200,72.19
2014-12-16,71.55,72.97,71.53,72.55,516000,72.55
2014-12-15,72.48,72.52,71.35,71.37,604300,71.37
2014-12-12,73.57,73.67,72.72,72.80,453400,72.80
2014-12-11,73.71,74.13,73.61,73.67,611300,73.67
2014-12-10,73.91,74.03,73.59,73.76,349700,73.76
2014-12-09,74.03,74.23,73.77,73.88,302400,73.88
2014-12-08,73.97,74.12,73.86,73.86,296700,73.86
2014-12-05,74.01,74.24,73.83,74.06,492300,74.06
2014-12-04,74.41,74.70,74.10,74.33,1283900,74.33
2014-12-03,74.05,74.09,73.84,74.00,670000,74.00
2014-12-02,75.42,75.47,74.92,75.08,379400,75.08
2014-12-01,75.62,76.01,75.15,75.65,561500,75.65
2014-11-28,75.02,75.37,74.98,75.05,122800,75.05
2014-11-26,74.71,74.89,74.58,74.81,197100,74.81
2014-11-25,74.15,74.43,74.09,74.25,1443100,74.25
2014-11-24,74.37,74.44,74.13,74.30,752300,74.30
2014-11-21,74.55,74.61,74.20,74.31,349800,74.31
2014-11-20,74.91,75.10,74.74,74.94,251200,74.94
2014-11-19,75.00,75.17,74.65,74.83,444700,74.83
2014-11-18,74.68,75.00,74.56,74.75,363900,74.75
2014-11-17,74.00,74.21,73.85,74.17,210900,74.17
2014-11-14,74.00,74.70,73.90,74.50,490900,74.50
2014-11-13,73.84,74.34,73.71,74.29,379400,74.29
2014-11-12,73.43,73.69,73.36,73.57,537200,73.57
2014-11-11,73.31,73.70,73.17,73.60,304000,73.60
2014-11-10,73.16,73.20,72.86,72.96,394400,72.96
2014-11-07,72.40,72.92,72.28,72.80,1249200,72.80
2014-11-06,72.92,73.08,72.70,72.75,225500,72.75
2014-11-05,73.26,73.29,73.02,73.25,336600,73.25
2014-11-04,72.86,73.20,72.82,72.94,367600,72.94
2014-11-03,72.73,72.79,72.40,72.64,501700,72.64
2014-10-31,72.65,73.42,72.56,73.33,1885100,73.33
2014-10-30,72.14,72.85,72.09,72.74,322800,72.74
2014-10-29,73.08,73.37,72.15,72.29,502400,72.29
2014-10-28,72.88,73.05,72.80,72.90,381800,72.90
2014-10-27,71.89,72.30,71.81,72.24,410100,72.24
2014-10-24,71.20,71.65,71.13,71.63,706100,71.63
2014-10-23,71.33,71.37,71.00,71.25,398900,71.25
2014-10-22,71.06,71.45,71.02,71.05,602300,71.05
2014-10-21,70.86,71.16,70.69,71.15,1308500,71.15
2014-10-20,70.19,71.02,70.19,70.96,960700,70.96
2014-10-17,69.24,70.28,65.79,70.07,621600,70.07
2014-10-16,68.51,69.19,68.28,68.88,1044400,68.88
2014-10-15,71.20,71.52,70.19,70.75,1526500,70.75
2014-10-14,70.99,71.30,70.77,71.01,781800,71.01
2014-10-13,71.67,71.73,71.24,71.24,331500,71.24
2014-10-10,71.65,71.95,71.40,71.48,841800,71.48
2014-10-09,72.48,72.68,71.74,71.88,844600,71.88
2014-10-08,71.94,72.80,71.81,72.80,353600,72.80
2014-10-07,71.72,71.78,71.36,71.40,332100,71.40
2014-10-06,71.65,72.41,71.62,72.22,463300,72.22
2014-10-03,71.42,71.97,71.40,71.75,1288700,71.75
2014-10-02,72.67,72.73,72.20,72.48,601600,72.48
2014-10-01,73.00,73.34,72.72,72.82,1507500,72.82
2014-09-30,73.04,73.73,73.02,73.63,1404800,73.63
2014-09-29,73.01,73.34,73.00,73.16,226400,73.16
2014-09-26,73.40,73.47,73.17,73.38,220400,73.38
2014-09-25,73.28,73.31,73.05,73.20,358100,73.20
2014-09-24,74.15,74.35,74.00,74.25,376800,74.25
2014-09-23,74.31,74.47,74.15,74.20,398800,74.20
2014-09-22,74.84,74.98,74.58,74.96,544900,74.96
2014-09-19,75.04,75.08,74.64,74.70,313100,74.70
2014-09-18,74.82,75.31,74.78,75.17,253600,75.17
2014-09-17,75.59,75.62,74.66,74.78,585000,74.78
2014-09-16,75.99,76.25,75.78,76.09,496300,76.09
2014-09-15,75.61,75.69,75.41,75.50,572800,75.50
2014-09-12,75.82,76.09,75.67,75.86,164300,75.86
2014-09-11,76.17,76.39,76.05,76.27,179600,76.27
2014-09-10,76.08,76.42,75.95,76.42,299100,76.42
2014-09-09,76.35,76.66,76.35,76.53,231000,76.53
2014-09-08,76.64,76.93,76.47,76.57,530900,76.57
2014-09-05,76.71,77.00,76.62,76.95,249600,76.95
2014-09-04,77.35,77.43,76.70,76.85,432300,76.85
2014-09-03,78.35,78.52,78.09,78.20,368900,78.20
2014-09-02,77.81,77.95,77.64,77.80,498600,77.80
2014-08-29,77.51,77.71,77.44,77.57,206300,77.57
2014-08-28,77.20,77.34,77.12,77.19,210000,77.19
2014-08-27,77.30,77.60,77.14,77.57,455100,77.57
2014-08-26,77.10,77.42,76.96,76.97,475900,76.97
2014-08-25,76.88,77.09,76.87,76.94,168000,76.94
2014-08-22,76.85,76.85,76.41,76.58,203300,76.58
2014-08-21,77.21,77.30,77.03,77.22,273300,77.22
2014-08-20,76.75,76.94,76.61,76.81,428900,76.81
2014-08-19,77.00,77.09,76.84,77.06,207000,77.06
2014-08-18,76.99,77.20,76.78,76.93,327400,76.93
2014-08-15,77.27,77.35,76.70,77.14,993100,77.14
2014-08-14,76.75,76.96,76.68,76.90,394500,76.90
2014-08-13,76.20,76.31,75.95,76.00,762000,76.00
2014-08-12,75.59,75.81,75.49,75.76,237900,75.76
2014-08-11,75.97,76.00,75.72,75.79,638800,75.79
2014-08-08,75.59,76.32,75.51,76.32,708500,76.32
2014-08-07,76.64,76.69,76.03,76.12,840200,76.12
2014-08-06,73.25,74.04,73.20,73.89,314100,73.89
2014-08-05,73.87,74.00,73.39,73.58,653600,73.58
2014-08-04,73.63,73.63,73.23,73.48,566600,73.48
2014-08-01,72.87,74.04,72.75,73.96,508500,73.96
2014-07-31,74.49,74.52,74.15,74.15,246500,74.15
2014-07-30,75.31,75.38,74.90,75.25,373200,75.25
2014-07-29,76.15,76.15,75.73,75.77,348000,75.77
2014-07-28,76.64,76.67,76.10,76.45,256900,76.45
2014-07-25,76.81,76.87,76.30,76.64,313600,76.64
2014-07-24,77.36,77.47,77.17,77.32,349500,77.32
2014-07-23,77.40,77.55,77.33,77.46,211000,77.46
2014-07-22,77.15,77.15,76.86,76.90,202700,76.90
2014-07-21,76.83,76.97,76.62,76.86,147100,76.86
2014-07-18,76.80,77.15,76.70,77.09,162700,77.09
2014-07-17,77.15,77.92,76.85,76.94,239600,76.94
2014-07-16,76.97,77.05,76.63,76.83,260900,76.83
2014-07-15,77.10,77.16,76.60,76.69,297800,76.69
2014-07-14,77.48,77.75,77.38,77.48,248400,77.48
2014-07-11,76.52,76.92,76.50,76.92,241600,76.92
2014-07-10,76.72,77.00,76.65,76.93,212200,76.93
2014-07-09,76.97,77.31,76.84,77.27,472700,77.27
2014-07-08,76.99,77.31,76.99,77.29,358000,77.29
2014-07-07,77.21,77.35,77.08,77.22,393100,77.22
2014-07-03,77.94,78.35,77.82,78.25,158700,78.25
2014-07-02,77.98,78.06,77.82,78.01,345600,78.01
2014-07-01,78.22,78.59,78.14,78.42,442700,78.42
2014-06-30,77.26,77.67,77.22,77.67,956800,77.67
2014-06-27,77.22,77.25,76.90,77.19,443300,77.19
