Date,Open,High,Low,Close,Volume,Adj Close
2015-02-26,67.87,67.97,67.37,67.71,1111800,67.71
2015-02-25,68.42,69.03,68.02,68.93,776000,68.93
2015-02-24,68.74,68.77,68.05,68.63,1140800,68.63
2015-02-23,67.90,68.27,67.50,67.77,717100,67.77
2015-02-20,67.62,68.40,67.59,68.30,880600,68.30
2015-02-19,68.00,68.36,67.64,67.96,914400,67.96
2015-02-18,69.17,69.69,69.01,69.38,559300,69.38
2015-02-17,68.67,69.70,68.25,69.42,850800,69.42
2015-02-13,68.64,69.36,68.63,69.26,736600,69.26
2015-02-12,67.91,68.83,67.81,68.40,920900,68.40
2015-02-11,67.27,67.85,66.98,67.74,897400,67.74
2015-02-10,69.00,69.14,68.10,69.12,1106700,68.18
2015-02-09,68.87,69.91,68.87,69.47,1310500,68.53
2015-02-06,68.96,69.29,68.52,68.82,2363000,67.88
2015-02-05,69.06,70.05,68.96,69.81,961600,68.86
2015-02-04,67.62,68.64,67.37,68.03,1147900,67.10
2015-02-03,67.68,69.73,67.68,69.61,1480600,68.66
2015-02-02,65.52,66.10,65.10,65.96,1283300,65.06
2015-01-30,64.02,64.57,63.47,63.99,2349400,63.12
2015-01-29,65.57,65.73,64.39,64.90,2200900,64.02
2015-01-28,68.96,68.96,67.12,67.12,1539900,66.21
2015-01-27,69.06,70.15,69.00,69.85,1169000,68.90
2015-01-26,68.75,69.92,68.44,69.56,1213100,68.61
2015-01-23,67.71,68.89,67.59,68.17,1247100,67.24
2015-01-22,67.84,68.68,67.57,68.25,2402800,67.32
2015-01-21,67.07,67.93,67.04,67.75,1424200,66.83
2015-01-20,66.85,67.00,66.05,66.75,1531200,65.84
2015-01-16,65.09,66.66,65.05,66.61,1602000,65.70
2015-01-15,64.77,65.26,64.00,64.48,1860900,63.60
2015-01-14,62.90,64.03,62.56,63.85,1646100,62.98
2015-01-13,64.69,65.08,63.79,64.51,1228500,63.63
2015-01-12,64.64,64.87,63.67,64.34,1903700,63.47
2015-01-09,66.28,66.46,65.38,66.03,1524900,65.13
2015-01-08,65.79,67.01,65.52,66.92,1616200,66.01
2015-01-07,65.19,66.10,64.75,65.47,4187200,64.58
2015-01-06,65.08,66.21,64.47,64.66,1665600,63.78
2015-01-05,66.68,66.87,65.01,65.52,2224300,64.63
2015-01-02,69.44,69.61,68.54,69.12,1062500,68.18
2014-12-31,69.96,70.04,69.46,69.56,784200,68.61
2014-12-30,69.69,70.30,69.47,69.95,993500,69.00
2014-12-29,70.99,71.45,70.75,70.98,734700,70.01
