Date,Open,High,Low,Close,Volume,Adj Close
2015-02-26,257.70,258.70,256.40,258.70,250000,250.70
2015-02-25,257.50,258.70,255.10,257.00,319600,249.05
2015-02-24,259.60,259.60,256.50,256.80,313900,248.86
2015-02-23,259.40,260.70,258.50,259.70,315800,251.67
2015-02-20,257.00,258.70,254.10,256.50,382500,248.57
2015-02-19,252.20,256.80,251.60,255.80,395300,247.89
2015-02-18,250.00,252.20,249.00,251.60,306300,243.82
2015-02-17,247.90,250.25,246.70,250.00,398800,242.27
2015-02-16,243.90,248.60,243.40,247.00,382600,239.36
2015-02-13,242.20,243.40,241.10,243.40,571000,235.87
2015-02-12,243.40,244.30,241.10,241.70,548100,234.23
2015-02-11,245.30,246.50,241.50,242.85,434100,235.34
2015-02-10,244.10,246.10,243.10,244.90,515800,237.33
2015-02-09,247.70,248.10,244.60,244.90,705900,237.33
2015-02-06,249.50,252.10,247.20,251.30,427600,243.53
2015-02-05,252.60,253.10,249.35,249.60,436700,241.88
2015-02-04,251.60,254.80,250.30,253.80,742800,245.95
2015-02-03,249.50,250.10,245.50,246.50,555700,238.88
2015-02-02,251.20,253.30,247.20,248.10,613400,240.43
2015-01-30,250.00,255.90,249.10,249.40,501200,241.69
2015-01-29,251.50,255.40,248.30,250.80,645700,243.04
2015-01-28,253.00,256.55,246.90,253.70,630200,245.85
2015-01-27,257.50,257.95,254.70,256.00,669100,248.08
2015-01-26,249.00,255.80,249.00,255.40,433200,247.50
2015-01-23,245.10,250.10,241.90,249.90,632800,242.17
2015-01-22,247.30,248.90,238.80,241.70,787100,234.23
2015-01-21,256.30,256.30,244.20,247.40,669500,239.75
2015-01-20,257.10,258.20,253.00,255.20,405100,247.31
2015-01-19,251.40,256.30,249.70,252.70,573600,244.89
2015-01-16,258.00,258.00,239.70,248.20,1116400,240.52
2015-01-15,289.10,289.30,240.30,258.50,1788100,250.51
2015-01-14,283.80,286.70,281.80,283.90,449000,275.12
2015-01-13,282.10,287.40,281.40,285.40,382000,276.57
2015-01-12,281.40,284.80,278.50,282.10,343400,273.38
2015-01-09,278.30,284.00,276.70,284.00,943600,275.22
2015-01-08,277.80,282.90,277.00,282.70,750900,273.96
2015-01-07,274.30,275.00,273.00,273.40,801800,264.95
2015-01-06,274.80,278.20,273.40,273.80,823000,265.33
2015-01-05,272.10,278.50,270.60,276.00,730100,267.47
2015-01-02,269.30,269.30,269.30,269.30,000,260.97
2015-01-01,269.30,269.30,269.30,269.30,000,260.97
2014-12-31,269.30,269.30,269.30,269.30,000,260.97
2014-12-30,269.80,271.60,268.40,269.30,326500,260.97
2014-12-29,271.20,271.70,269.40,269.40,346700,261.07
2014-12-26,270.00,270.00,270.00,270.00,000,261.65
2014-12-25,270.00,270.00,270.00,270.00,000,261.65
2014-12-24,270.00,270.00,270.00,270.00,000,261.65
2014-12-23,273.70,275.50,269.30,270.00,348900,261.65
2014-12-22,272.10,275.70,271.80,272.40,485000,263.98
2014-12-19,280.00,280.00,270.70,270.80,1064000,262.43
2014-12-18,283.10,288.50,282.40,288.50,320500,279.58
2014-12-17,279.40,280.80,277.40,278.80,367400,270.18
2014-12-16,278.70,281.45,273.30,281.30,535300,272.60
2014-12-15,286.00,286.90,279.50,279.60,302000,270.95
2014-12-12,291.50,292.20,286.40,286.80,195500,277.93
2014-12-11,288.20,292.90,288.20,292.90,260100,283.84
2014-12-10,291.00,292.10,288.90,289.60,218300,280.64
2014-12-09,292.60,293.90,289.80,290.70,315900,281.71
2014-12-08,294.00,295.00,292.40,294.70,235700,285.59
2014-12-05,293.30,294.30,291.40,294.30,256200,285.20
2014-12-04,292.20,294.60,290.30,291.70,243700,282.68
2014-12-03,293.80,295.80,291.10,291.90,293800,282.87
2014-12-02,291.90,294.00,291.10,292.30,277600,283.26
2014-12-01,288.50,291.70,288.00,291.10,190000,282.10
2014-11-28,290.20,291.20,287.00,289.10,192700,280.16
2014-11-27,287.30,290.00,287.20,289.80,172100,280.84
2014-11-26,286.00,287.80,286.00,286.70,182800,277.83
2014-11-25,287.60,289.70,285.60,285.60,250200,276.77
2014-11-24,289.50,289.90,288.05,288.40,224900,279.48
2014-11-21,289.00,290.70,287.80,289.90,234600,280.94
2014-11-20,287.80,288.70,286.20,288.00,142800,279.09
2014-11-19,285.40,288.10,285.00,287.80,213500,278.90
2014-11-18,284.30,286.70,284.10,286.20,245200,277.35
2014-11-17,281.80,284.60,280.60,284.50,193700,275.70
2014-11-14,285.90,286.70,282.50,283.20,156100,274.44
2014-11-13,283.10,284.50,281.10,284.10,189300,275.31
2014-11-12,284.70,285.10,281.90,282.70,210700,273.96
2014-11-11,284.70,286.40,283.20,286.00,239100,277.16
2014-11-10,281.60,283.50,281.10,283.50,200600,274.73
2014-11-07,287.70,288.00,281.00,282.10,252000,273.38
2014-11-06,286.00,287.00,283.80,286.80,219600,277.93
2014-11-05,283.30,286.90,283.20,286.60,245000,277.74
2014-11-04,280.20,284.60,280.00,281.80,230600,273.09
2014-11-03,283.80,283.90,278.30,280.10,242200,271.44
2014-10-31,285.00,286.50,282.40,283.30,239300,274.54
2014-10-30,281.90,283.80,278.80,283.70,209700,274.93
2014-10-29,278.80,280.50,277.90,280.00,216400,271.34
2014-10-28,277.10,279.90,276.80,278.00,194800,269.40
2014-10-27,280.00,280.00,275.70,276.60,322500,268.05
2014-10-24,279.10,279.40,276.70,277.80,261500,269.21
2014-10-23,277.00,279.70,275.80,279.20,379700,270.57
2014-10-22,275.30,278.70,273.00,278.00,363100,269.40
2014-10-21,269.60,274.80,267.90,274.40,447000,265.91
2014-10-20,268.00,269.40,264.20,268.50,350300,260.20
2014-10-17,261.60,269.10,260.30,267.80,463400,259.52
2014-10-16,262.40,264.60,251.90,259.50,581900,251.48
2014-10-15,263.50,263.90,255.50,259.20,372400,251.18
2014-10-14,263.30,265.20,260.90,264.80,297400,256.61
2014-10-13,261.00,265.50,260.90,264.00,246900,255.84
2014-10-10,265.90,266.30,262.50,264.20,263500,256.03
2014-10-09,266.20,266.20,266.20,266.20,000,257.97
2014-10-08,266.20,266.20,266.20,266.20,000,257.97
2014-10-07,266.20,266.20,266.20,266.20,000,257.97
2014-10-06,266.20,266.20,266.20,266.20,000,257.97
2014-10-03,266.20,266.20,266.20,266.20,000,257.97
2014-10-02,266.20,266.20,266.20,266.20,000,257.97
2014-10-01,266.20,266.20,266.20,266.20,000,257.97
2014-09-30,266.20,266.20,266.20,266.20,000,257.97
2014-09-29,266.20,266.20,266.20,266.20,000,257.97
2014-09-26,266.20,266.20,266.20,266.20,000,257.97
2014-09-25,266.20,266.20,266.20,266.20,000,257.97
2014-09-24,266.20,266.20,266.20,266.20,000,257.97
2014-09-23,266.20,266.20,266.20,266.20,000,257.97
2014-09-22,266.20,266.20,266.20,266.20,000,257.97
2014-09-19,266.20,266.20,266.20,266.20,000,257.97
2014-09-18,266.20,266.20,266.20,266.20,000,257.97
2014-09-17,266.20,266.20,266.20,266.20,000,257.97
2014-09-16,266.20,266.20,266.20,266.20,000,257.97
2014-09-15,266.20,266.20,266.20,266.20,000,257.97
2014-09-12,266.20,266.20,266.20,266.20,000,257.97
2014-09-11,266.20,266.20,266.20,266.20,000,257.97
2014-09-10,266.20,266.20,266.20,266.20,000,257.97
2014-09-09,266.20,266.20,266.20,266.20,000,257.97
2014-09-08,266.20,266.20,266.20,266.20,000,257.97
2014-09-05,266.20,266.20,266.20,266.20,000,257.97
2014-09-04,266.20,266.20,266.20,266.20,000,257.97
2014-09-03,266.20,266.20,266.20,266.20,000,257.97
2014-09-02,266.20,266.20,266.20,266.20,000,257.97
2014-09-01,266.20,266.20,266.20,266.20,000,257.97
2014-08-29,266.20,266.20,266.20,266.20,000,257.97
2014-08-28,266.20,266.20,266.20,266.20,000,257.97
2014-08-27,266.20,266.20,266.20,266.20,000,257.97
2014-08-26,266.20,266.20,266.20,266.20,000,257.97
2014-08-25,266.20,266.20,266.20,266.20,000,257.97
2014-08-22,266.20,266.20,266.20,266.20,000,257.97
2014-08-21,266.20,266.20,266.20,266.20,000,257.97
2014-08-20,266.20,266.20,266.20,266.20,000,257.97
2014-08-19,266.20,266.20,266.20,266.20,000,257.97
2014-08-18,266.20,266.20,266.20,266.20,000,257.97
2014-08-15,266.20,266.20,266.20,266.20,000,257.97
2014-08-14,266.20,266.20,266.20,266.20,000,257.97
2014-08-13,266.20,266.20,266.20,266.20,000,257.97
2014-08-12,266.20,266.20,266.20,266.20,000,257.97
2014-08-11,266.20,266.20,266.20,266.20,000,257.97
2014-08-08,266.20,266.20,266.20,266.20,000,257.97
2014-08-07,266.20,266.20,266.20,266.20,000,257.97
2014-08-06,266.20,266.20,266.20,266.20,000,257.97
2014-08-05,266.20,266.20,266.20,266.20,000,257.97
2014-08-04,266.20,266.20,266.20,266.20,000,257.97
2014-08-01,266.20,266.20,266.20,266.20,000,257.97
2014-07-31,266.20,266.20,266.20,266.20,000,257.97
2014-07-30,266.20,266.20,266.20,266.20,000,257.97
2014-07-29,266.20,266.20,266.20,266.20,000,257.97
2014-07-28,266.20,266.20,266.20,266.20,000,257.97
2014-07-25,266.20,266.20,266.20,266.20,000,257.97
2014-07-24,266.20,266.20,266.20,266.20,000,257.97
2014-07-23,266.20,266.20,266.20,266.20,000,257.97
2014-07-22,266.20,266.20,266.20,266.20,000,257.97
2014-07-21,266.20,266.20,266.20,266.20,000,257.97
2014-07-18,266.20,266.20,266.20,266.20,000,257.97
2014-07-17,266.20,266.20,266.20,266.20,000,257.97
2014-07-16,266.20,266.20,266.20,266.20,000,257.97
2014-07-15,266.20,266.20,266.20,266.20,000,257.97
2014-07-14,266.20,266.20,266.20,266.20,000,257.97
2014-07-11,266.20,266.20,266.20,266.20,000,257.97
2014-07-10,266.20,266.20,266.20,266.20,000,257.97
2014-07-09,266.20,266.20,266.20,266.20,000,257.97
2014-07-08,266.20,266.20,266.20,266.20,000,257.97
2014-07-07,266.20,266.20,266.20,266.20,000,257.97
2014-07-04,266.20,266.20,266.20,266.20,000,257.97
2014-07-03,266.20,266.20,266.20,266.20,000,257.97
2014-07-02,266.20,266.20,266.20,266.20,000,257.97
2014-07-01,266.20,266.20,266.20,266.20,000,257.97
2014-06-30,266.20,266.20,266.20,266.20,000,257.97
2014-06-27,266.20,266.20,266.20,266.20,000,257.97
2014-06-26,266.20,266.20,266.20,266.20,000,257.97
